"Data Source","World Development Indicators",

"Last Updated Date","2017-10-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24508591166203","7.81443171889218","6.66662183020206","1.15446939174406","4.51406203251221","-0.364695778713454","-2.16445940890385","0.465289865491144","7.51947237328494","1.17669048367502","0.380390971382511","2.35511944298051","-3.65462624193272","-6.88130206359888","-5.65350208612952","","","","","","","",
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.44416322679218","1.05555578746555","11.1752702416587","5.55413762257501","13.7402049898513","3.61136839226168","21.0206487363678","8.43329048161792","6.11368516942299","14.4347412879524","1.95912289275337","1.31253090764642","1.11255751924601","2.23227177311031",
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","2.80000000794205","7.9000000036751","5.59999998070748","0.400000018928708","-0.300000018689062","-1.19999998948087","-6.90000000175168","-24.6999999862023","3.49999998931119","10.4000000186697","11.1999999665668","7.90000000976703","6.8047621164026","3.2397996705996","3.01207617104586","4.22096514726005","-6.94046155293242","5.24749454056162","10.8795774758584","18.2614503245644","20.7351248827892","22.5930542991417","13.8171458087553","2.41286969254453","3.40765479391563","3.91859698579799","5.15544054479086","6.81358576983935","4.80447270408375","3.00698054504154","0",
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.74563529200682","2.94859680156875","1.10493826182693","-1.2515966446984","1.7806439597726","5.63724317825194","-0.787842655012994","-1.42003965482256","9.83654897047627","-9.57564016948626","-29.5889977012912","-7.19999998616426","9.6000000454053","8.29999997982694","13.2999999923636","9.10000000771629","-10.8378557356567","9.00885253995469","13.5011733754336","6.66662049881369","7.94033142454762","4.23137101758226","5.77349056080081","5.70955659620999","5.72081994678555","5.43101273852915","5.89999999980755","7.52999998948079","3.35000000887302","3.70999999380066","2.55000000544001","1.41999999814648","1.10999999256572","1.79999999809164","2.59000000518199","3.4599999943693",
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64946536081882","8.14974348860618","7.78846720294044","5.61878972962946","0.542205658763677","3.30378704950753","2.83857556610091","1.46300017893421","0.0415571951292577","2.20872760693054","-0.132474511474584","1.24646111342553","1.7701183169325","1.78468669356819","2.32143303219918","3.2533217783064","5.54712217053806","5.0943262032322","4.82703424406914","3.78138758962916","2.54600287187641","0.929211956288896","-1.0314840109579","2.38318769098804","2.75749918732973","4.6497401487506","9.06767219910513","3.19479029605851","4.09908083663409","1.16578707933228","6.06678059681872","6.42684513850158","12.0239197396079","8.06950429074125","7.83970449604648","4.58531059335641","0.078039377902499","-8.59425600818136","-3.81798602402674","-5.34797718118854","-4.80267503725287","-1.76001032768896","-0.0635143126218196","","","",
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","15.9031516079944","8.50550096656832","-0.798476186922215","11.605057353708","9.14506751862962","2.68708383254845","-8.9925725353927","-6.57356899578258","1.06640451994264","-2.16460950525548","4.46288865462701","-0.626386706730514","5.58877530570663","2.12100068254981","13.1413550327939","1.52961578176148","4.79539500272912","3.20093873984074","3.209841598949","2.75526786062146","4.47868915826773","4.18729746437975","5.10019841958615","1.80769841826131","5.37168948140877","1.61383675424491","0.584405513808534","5.31926675818606","9.33566011358305","5.71629757147758","6.49544235286686","4.57174871901114","5.81595309929904","0.431831413093221","4.77378908129691","3.57043337524128","5.16139739851323","3.64693465504243","2.91134620190722","3.48480816575321","3.22552960352938",
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","16.526856487528","21.4393301622724","-1.58960330014759","20.9235730764523","23.8747748930489","4.65917666989016","-6.71931618775936","-4.74582069446205","4.01695128594224","-3.59447652685392","-14.9581365517104","3.38198171435913","-2.6189077195029","12.3378912971254","18.3279855121012","0.860081944630522","3.3449448725231","1.26119095220467","6.89614854507172","6.68788647127106","5.79840405138745","8.19039865220303","0.291994343877903","2.90221364978885","10.8527042037787","1.39908502781833","2.43345681395475","8.80054081702863","9.56643664256451","4.8551411953047","9.83731977265896","3.18439017418363","3.19183627059647","-5.24292190590671","1.63544905517215","6.35892020190771","5.10467942682324","5.7899060746133","3.28492613384444","3.82886705037397","3.03645979934825",
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287951248","-0.852021523481966","-5.30819682651727","10.1302976614338","10.5694333403429","-0.659726171593704","3.1919966233703","4.82250078158646","9.67952600806899","3.04564331900328","5.65813108318036","1.62841651625511","2.81175404095775","5.53380439483222","-0.0284121027670921","-2.01825151667566","6.93414775537975","-4.50612480247693","10.2227634648727","4.15176234244557","-5.68952800019454","-4.95717851904021","3.87512342400915","2.21177350377243","-7.58667718413531","7.87577983041486","2.90999313057101","-2.55690487694625","-7.49618958372476","-2.39895921890088","12.6697100915969","11.9407747322281","5.90691949180228","5.83620070368526","-2.84520961057081","5.52668982715234","8.1110467707457","3.85017885156229","-3.3854570406327","-0.78899893905691","-4.40883968258557","-10.8944848285903","8.83704079576924","9.02957330068155","8.85165992013435","8.04715150043027","9.00765087504757","4.05723310346406","-5.91852507634947","10.1253981561002","6.00395169280579","-1.02642045443208","2.40532378079436","-2.51261532081396","2.64727141477579","-2.29817599109387",
"Armenia","ARM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.6999984817524","-41.8000027485614","-8.79999879239085","5.40000279013701","6.89999840719999","5.86540074820616","3.32107969582276","7.3","3.30000000000001","5.89999999999978","9.55664149553445","13.186300532067","14.0407950559649","10.4678418639969","13.8657112498155","13.1980035154758","13.7492019586216","6.90000000168239","-14.149988640087","2.1999999991457","4.69999999861844","7.20000000328227","3.30000000179984","3.6000000009613","2.99999999685869","0.19999999823581",
"American Samoa","ASM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.814111261872455","0.538358008075377","-0.401606425702823","-4.16666666666666","1.96353436185133","-2.61348005502063","-4.23728813559322","0.442477876106182","0.293685756240819","-4.39238653001463","-3.21592649310874","1.4240506329114","1.09204368174727","",
"Antigua and Barbuda","ATG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","4.38362118066497","8.07974237359122","8.1614353141114","3.81491684682882","-0.0840088504984777","5.3640096427899","10.1650010922351","7.6437904952799","11.493828189942","6.62637073147947","5.21326855767165","5.25227810172191","3.0116457721507","2.1768731163895","1.15832626873824","5.28007148779103","6.67619516293692","-4.35949398995461","6.60481808836559","5.471131931738","4.73131371210214","3.70789461849279","6.08463497258951","-5.19616635813045","1.08771970302321","6.11053944887441","5.81143105772124","6.28728375249641","12.804960792028","9.28961443913434","0.0476763929949158","-12.0355550351434","-7.04172467630031","-1.7632730191209","3.8374697868161","-0.200091657282371","4.60279330792024","4.12699709939699","4.37567865362792",
"Australia","AUS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","2.47496516715691","1.32666489088906","6.2129713187115","6.97548992445651","5.97849358398828","2.36460617593295","6.29778646413588","5.09158748648721","7.05065736609052","7.16734541776465","4.00330835508684","3.91178191457604","2.59931282534505","4.09676877415018","1.33286279302969","2.59095194815121","3.60767445855905","0.898233500753179","4.05596454892145","3.05241685346648","3.35642099937404","3.31942201323481","-2.23096023627221","4.63076612888962","5.2493504869024","4.10020364505374","2.57844247449019","5.77685198414788","3.88081984345341","3.53080143827189","-0.375332994004438","0.43646391243648","4.06199419960494","4.05161074064104","3.88933224974315","3.94880727673363","3.9476152272907","4.44013975037123","5.00680702601657","3.86786879656171","1.93005426100632","3.85292705053632","3.06830485081724","4.14567139532218","3.20354813216642","2.97805438554232","3.74972737014126","3.6981406851839","1.81195719876368","2.00587970060417","2.37282070033223","3.63424961605661","2.56985608805907","2.60945747981651","2.42161055597219","2.76577349883983",
"Austria","AUT","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.53797931684524","2.64867511295262","4.13826758157035","6.12435373762838","3.48017491799565","5.64286141093264","3.00804779775493","4.47231278246076","6.27586716606969","5.54602841063007","5.11496873516448","6.20786097184929","4.89043542102145","3.94213808630408","-0.363735687508665","4.57844539632157","5.07998083944021","-0.210653522029688","5.356699873455","1.73148536881487","-0.14429447402668","2.0112543759392","2.97308801257286","0.0512752530666916","2.49867849370824","2.30139275532899","1.35716799724619","3.2958802564421","3.8870747605712","4.34564156450476","3.44162738717691","2.09352471906863","0.526809483408996","2.40211875392227","2.66798367090327","2.39831429528101","2.20501964036377","3.55996691871002","3.58998775085415","3.36840771488365","1.35051607992412","1.65585494261917","0.756156575984136","2.70574308750665","2.14068259595112","3.35083135763318","3.621510423492","1.54726383930861","-3.79907504838874","1.92867305613767","2.80799993211767","0.745756100086155","0.124223545493621","0.644844831726999","0.963058398933342","1.48073072096157",
"Azerbaijan","AZE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.699999960061689","-22.6000003946572","-23.099999548566","-19.7000000190049","-11.8000008993603","1.30000019976242","5.80000052390139","10.0000002781915","7.40000058167318","11.0999992535406","9.89999999999999","10.5999992015725","11.2000002371477","10.2000003982988","26.4000008082431","34.4999995102935","25.0489995231791","10.7724207826314","9.41065376397619","4.85433932383958","0.0659227678492726","2.20000018843571","5.79667839631929","2","1.09999980909508","-3.10000020204572",
